,County,Population,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
144,Berrien,187272.0,1141678.0,667098.0,32882.0,17.55841770259302,88956.0,8628.0,9.699177121273438
145,Bertie,21233.0,252540.0,142349.0,4310.0,20.298591814628175,8746.0,1190.0,13.606219986279442
146,Bethel Census Area,17764.0,1030164.0,362190.0,4356.0,24.52150416572844,7561.0,1335.0,17.65639465679143
147,Bexar,1830408.0,3870848.0,1774487.0,312935.0,17.096461553926776,892396.0,66687.0,7.472803553579353
148,Bibb,198484.0,667039.0,330276.0,47083.0,23.72130751093287,86848.0,9884.0,11.380803242446573
149,Bienville,14623.0,248449.0,148938.0,3843.0,26.280516993776928,5953.0,649.0,10.902066185116748
150,Big Horn,23776.0,976014.0,454546.0,4800.0,20.188425302826378,10854.0,1340.0,12.345679012345679
151,Big Stone,5397.0,306786.0,194007.0,732.0,13.563090605892162,2680.0,87.0,3.246268656716418
152,Billings,502.0,114166.0,84930.0,79.0,15.737051792828685,337.0,8.0,2.373887240356083
153,Bingham,43958.0,429549.0,173119.0,5685.0,12.932799490422676,19939.0,1331.0,6.675359847534982
154,Black Hawk,131559.0,537402.0,260355.0,19876.0,15.108050380437675,71320.0,4735.0,6.639091418956815
155,Blackford,12671.0,76789.0,42596.0,1663.0,13.124457422460738,5975.0,548.0,9.171548117154812
156,Bladen,31166.0,257995.0,159202.0,7879.0,25.28075466854906,13386.0,1728.0,12.909009412819364
157,Blaine,38024.0,997549.0,609335.0,5523.0,14.525036818851252,19056.0,1022.0,5.363140218303946
158,Blair,128701.0,620567.0,310578.0,18686.0,14.518923706886504,62329.0,3989.0,6.399910154181842
159,Blanco,10165.0,177294.0,98236.0,950.0,9.345794392523365,4651.0,303.0,6.514728015480542
160,Bland,6643.0,202039.0,94042.0,652.0,9.81484269155502,2710.0,231.0,8.523985239852399
161,Bleckley,13382.0,37603.0,19400.0,2821.0,21.08055597070692,4954.0,311.0,6.277755349212757
162,Bledsoe,11150.0,35666.0,16481.0,2183.0,19.57847533632287,4301.0,512.0,11.904208323645664
163,Blount,160266.0,705335.0,370747.0,23363.0,14.577639674041905,75006.0,5998.0,7.996693597845506
164,Blue Earth,64964.0,688889.0,317264.0,11774.0,18.123883997290807,38251.0,1870.0,4.888761078141748
165,Boise,59103.0,286948.0,172566.0,5211.0,8.816811329374143,27105.0,1576.0,5.814425382770707
166,Bolivar,35183.0,413478.0,227279.0,12131.0,34.47972031947247,14465.0,2170.0,15.001728309713101
167,Bollinger,11142.0,286576.0,137535.0,2525.0,22.661999640998026,4588.0,196.0,4.272013949433305
168,Bon Homme,7308.0,227526.0,118815.0,586.0,8.018609742747675,3048.0,26.0,0.8530183727034121
169,Bond,18149.0,308606.0,156627.0,2429.0,13.383657501790733,8393.0,528.0,6.290956749672346
170,Bonner,39162.0,667573.0,353274.0,5711.0,14.583014146366375,16735.0,988.0,5.903794442784584
171,Bonneville,107674.0,399568.0,189224.0,14027.0,13.027286067202853,50067.0,2808.0,5.608484630595003
172,Boone,506425.0,3427818.0,1774266.0,67091.0,13.247963666880585,265523.0,15290.0,5.758446537588081
