Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
01151,9037.0,30.4,33419.0,16458.0,2917.0,32.27841097709417,4388.0,611.0,13.924339106654513
01199,0.0,,,,0.0,,0.0,0.0,
01201,45328.0,43.3,44509.0,27192.0,7442.0,16.41810801270738,24137.0,2585.0,10.709698802668102
01220,8391.0,45.0,46210.0,27091.0,812.0,9.677034918364916,4625.0,355.0,7.675675675675675
01222,812.0,48.0,78208.0,40190.0,35.0,4.310344827586207,548.0,12.0,2.18978102189781
01223,2294.0,52.9,66012.0,42130.0,163.0,7.105492589363557,1391.0,121.0,8.698777857656362
01224,138.0,49.6,36384.0,24572.0,23.0,16.666666666666668,99.0,16.0,16.161616161616163
01225,3124.0,47.9,55750.0,30020.0,170.0,5.441741357234315,1666.0,145.0,8.703481392557023
01226,6892.0,47.5,47324.0,29846.0,985.0,14.291932675565873,3785.0,340.0,8.982826948480845
01229,114.0,60.2,29886.0,24127.0,6.0,5.2631578947368425,54.0,0.0,0.0
01230,8048.0,48.9,56933.0,36677.0,641.0,7.964711729622266,4463.0,317.0,7.102845619538427
01235,2866.0,46.9,63182.0,31979.0,199.0,6.943475226796929,1690.0,133.0,7.8698224852071
01236,1538.0,42.6,70135.0,26701.0,18.0,1.1703511053315996,844.0,98.0,11.611374407582938
01237,2841.0,39.8,73659.0,30990.0,114.0,4.0126715945089755,1667.0,196.0,11.75764847030594
01238,5950.0,48.6,59921.0,34883.0,621.0,10.436974789915967,3237.0,179.0,5.5298115539079395
01240,4603.0,57.2,49149.0,47343.0,598.0,12.991527264827287,1905.0,320.0,16.79790026246719
01242,394.0,31.4,54120.0,22493.0,3.0,0.7614213197969543,234.0,0.0,0.0
01243,374.0,56.6,73750.0,45124.0,19.0,5.080213903743315,252.0,3.0,1.1904761904761905
01244,115.0,57.0,,29806.0,20.0,17.391304347826086,73.0,0.0,0.0
01245,950.0,54.0,54297.0,36942.0,102.0,10.736842105263158,541.0,38.0,7.024029574861368
01247,15737.0,43.3,40465.0,23782.0,2502.0,15.898837135413357,7951.0,749.0,9.420198717142497
01253,708.0,50.3,68846.0,35261.0,36.0,5.084745762711864,356.0,8.0,2.247191011235955
01254,954.0,58.5,86944.0,56895.0,59.0,6.184486373165618,498.0,25.0,5.020080321285141
01255,852.0,52.0,58906.0,33997.0,42.0,4.929577464788732,465.0,40.0,8.602150537634408
01256,796.0,45.3,53036.0,26475.0,64.0,8.040201005025125,426.0,32.0,7.511737089201878
01257,2203.0,50.9,47167.0,35459.0,339.0,15.388107126645483,1199.0,71.0,5.921601334445371
01258,334.0,62.8,66198.0,45729.0,9.0,2.694610778443114,200.0,1.0,0.5
01259,563.0,54.2,63750.0,46758.0,34.0,6.039076376554174,355.0,25.0,7.042253521126761
01260,485.0,44.4,74844.0,26499.0,13.0,2.6804123711340204,282.0,25.0,8.865248226950355
01262,1239.0,53.3,41400.0,37678.0,183.0,14.76997578692494,714.0,23.0,3.2212885154061626
01264,153.0,65.9,76250.0,51875.0,25.0,16.33986928104575,74.0,10.0,13.513513513513514
01266,1430.0,54.9,79188.0,48061.0,82.0,5.734265734265734,799.0,20.0,2.5031289111389237
01267,7884.0,30.7,73112.0,30901.0,548.0,6.950786402841198,3650.0,186.0,5.095890410958904
01270,789.0,49.2,71250.0,36857.0,43.0,5.449936628643853,421.0,29.0,6.888361045130641
01301,17766.0,43.9,49778.0,28199.0,2415.0,13.59338061465721,9685.0,626.0,6.4636035105833765
01330,1432.0,48.8,75417.0,38595.0,103.0,7.192737430167598,934.0,28.0,2.9978586723768736
01331,13290.0,43.7,51849.0,24925.0,1991.0,14.981188863807374,6794.0,820.0,12.06947306446865
01337,2593.0,49.7,62965.0,31639.0,165.0,6.363285769379098,1515.0,89.0,5.874587458745874
01338,196.0,53.6,71375.0,34221.0,5.0,2.5510204081632653,148.0,21.0,14.18918918918919
01339,1378.0,49.8,54938.0,31950.0,149.0,10.81277213352685,730.0,78.0,10.684931506849315
01340,1686.0,48.4,50250.0,28376.0,150.0,8.896797153024911,1040.0,93.0,8.942307692307692
01341,1711.0,49.4,77778.0,41612.0,63.0,3.6820572764465225,1020.0,37.0,3.627450980392157
01342,1616.0,43.4,101598.0,45956.0,123.0,7.611386138613861,881.0,0.0,0.0
01343,46.0,59.5,82344.0,51739.0,0.0,0.0,25.0,0.0,0.0
01344,1559.0,40.5,58125.0,25826.0,152.0,9.749839640795381,881.0,86.0,9.761634506242906
01346,496.0,50.3,56250.0,33237.0,57.0,11.491935483870968,260.0,12.0,4.615384615384615
01347,143.0,38.7,38696.0,17989.0,17.0,11.888111888111888,96.0,0.0,0.0
01349,1078.0,53.3,61957.0,28142.0,49.0,4.545454545454546,648.0,83.0,12.808641975308642
01350,104.0,43.5,33750.0,24450.0,4.0,3.8461538461538463,55.0,4.0,7.2727272727272725
01351,2212.0,46.4,73051.0,34485.0,237.0,10.714285714285714,1202.0,97.0,8.069883527454243
01354,1641.0,48.3,73750.0,32193.0,168.0,10.23765996343693,1082.0,47.0,4.343807763401109
01355,925.0,50.2,65682.0,32431.0,79.0,8.54054054054054,527.0,32.0,6.072106261859583
01360,3022.0,45.0,63491.0,31602.0,130.0,4.301786896095301,1749.0,97.0,5.546026300743282
01364,7880.0,44.3,39273.0,21169.0,1087.0,13.794416243654823,3806.0,487.0,12.7955859169732
01366,1167.0,50.5,63625.0,34557.0,27.0,2.3136246786632393,651.0,52.0,7.987711213517665
01367,666.0,44.1,52875.0,26514.0,124.0,18.61861861861862,320.0,5.0,1.5625
01368,1336.0,47.0,57841.0,27370.0,184.0,13.77245508982036,734.0,83.0,11.307901907356948
01370,3990.0,50.2,55076.0,35329.0,326.0,8.170426065162907,2265.0,122.0,5.386313465783664
01373,4355.0,47.2,67561.0,34336.0,281.0,6.452353616532721,2613.0,147.0,5.625717566016074
01375,3680.0,26.6,47688.0,32538.0,771.0,20.95108695652174,2458.0,58.0,2.3596419853539463
01376,5275.0,41.9,41864.0,24310.0,1022.0,19.37440758293839,2639.0,278.0,10.534293292913983
01378,726.0,53.7,55625.0,30992.0,64.0,8.81542699724518,404.0,16.0,3.9603960396039604
01379,843.0,50.3,44750.0,30814.0,147.0,17.437722419928825,459.0,18.0,3.9215686274509802
01420,40462.0,34.5,48724.0,22965.0,7450.0,18.412337501853592,21014.0,2646.0,12.591605596269154
