,Zipcode,Place Name,State,State Abbreviation,County,Latitude,Longitude,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
2674,11003,Elmont,New York,NY,Nassau,40.6976,-73.7049,45406.0,684.0,7409.0,854.0,2880.0,5730.0,2554.0,348.0,289.0
2675,11004,Glen Oaks,New York,NY,Queens,40.7481,-73.7114,13778.0,112.0,2787.0,176.0,825.0,2139.0,1309.0,451.0,101.0
2676,11005,Floral Park,New York,NY,Queens,40.7571,-73.7182,1947.0,8.0,389.0,0.0,66.0,455.0,290.0,131.0,31.0
2677,11010,Franklin Square,New York,NY,Nassau,40.701,-73.6758,24791.0,195.0,5449.0,361.0,1595.0,3311.0,1316.0,306.0,61.0
2678,11020,Great Neck,New York,NY,Nassau,40.7742,-73.7189,6378.0,63.0,575.0,89.0,210.0,1439.0,761.0,386.0,119.0
2679,11021,Great Neck,New York,NY,Nassau,40.7867,-73.727,17378.0,180.0,1674.0,97.0,647.0,3657.0,2660.0,1663.0,500.0
2680,11023,Great Neck,New York,NY,Nassau,40.7993,-73.7343,9953.0,42.0,841.0,47.0,245.0,1906.0,1109.0,641.0,191.0
2681,11024,Great Neck,New York,NY,Nassau,40.8171,-73.7416,7667.0,50.0,863.0,35.0,201.0,1187.0,473.0,359.0,164.0
2682,11030,Manhasset,New York,NY,Nassau,40.7934,-73.6888,17505.0,42.0,1395.0,88.0,533.0,4200.0,2274.0,1751.0,186.0
2683,11040,New Hyde Park,New York,NY,Nassau,40.7294,-73.6828,41434.0,404.0,6457.0,529.0,2125.0,7597.0,3855.0,1324.0,584.0
2684,11042,New Hyde Park,New York,NY,Nassau,40.7602,-73.695,549.0,11.0,231.0,10.0,11.0,77.0,10.0,11.0,0.0
2685,11050,Port Washington,New York,NY,Nassau,40.835,-73.6964,30845.0,205.0,2650.0,246.0,1197.0,7154.0,3688.0,1820.0,565.0
2686,11096,Inwood,New York,NY,Nassau,40.6205,-73.7474,8331.0,168.0,1525.0,167.0,364.0,477.0,254.0,101.0,0.0
2687,11101,Long Island City,New York,NY,Queens,40.7446,-73.9345,25880.0,538.0,3318.0,768.0,979.0,4846.0,2232.0,692.0,240.0
2688,11102,Astoria,New York,NY,Queens,40.7706,-73.9265,35271.0,655.0,4871.0,546.0,1202.0,7526.0,2472.0,654.0,236.0
