Zipcode,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
85021,38994.0,266.0,5217.0,644.0,1774.0,4417.0,2102.0,716.0,274.0
85022,49112.0,308.0,6728.0,1261.0,3034.0,6521.0,2917.0,824.0,343.0
85023,31995.0,168.0,4374.0,822.0,1652.0,3633.0,1169.0,511.0,176.0
85024,24077.0,129.0,3244.0,438.0,1630.0,4142.0,1487.0,301.0,120.0
85027,35834.0,286.0,5110.0,953.0,3016.0,4423.0,1899.0,289.0,130.0
85028,19000.0,71.0,1853.0,240.0,1132.0,4567.0,1998.0,749.0,426.0
85029,44964.0,399.0,7986.0,1463.0,2045.0,3933.0,1263.0,192.0,138.0
85031,28338.0,601.0,4154.0,759.0,371.0,279.0,103.0,0.0,8.0
85032,72222.0,504.0,9183.0,1761.0,4583.0,9351.0,3380.0,627.0,244.0
85033,61118.0,1038.0,8207.0,1214.0,1334.0,1160.0,387.0,84.0,19.0
85034,4171.0,46.0,419.0,100.0,128.0,337.0,47.0,17.0,0.0
85035,55354.0,993.0,6504.0,1167.0,972.0,1687.0,237.0,77.0,8.0
85037,48348.0,608.0,6622.0,1173.0,2109.0,1989.0,895.0,109.0,85.0
85040,31850.0,772.0,3939.0,838.0,816.0,1822.0,534.0,102.0,75.0
85041,59188.0,1222.0,7907.0,1783.0,2223.0,2846.0,1376.0,149.0,229.0
85042,41917.0,644.0,5587.0,1091.0,1801.0,3448.0,1621.0,188.0,272.0
85043,35301.0,555.0,4768.0,795.0,1270.0,1583.0,348.0,96.0,86.0
85044,38608.0,71.0,4201.0,405.0,3289.0,7782.0,3493.0,572.0,567.0
85045,7381.0,0.0,413.0,38.0,579.0,1839.0,581.0,110.0,119.0
85048,34462.0,90.0,2747.0,364.0,2544.0,7793.0,3223.0,866.0,538.0
85050,30083.0,302.0,2670.0,353.0,1267.0,6308.0,2782.0,626.0,232.0
85051,42752.0,631.0,6904.0,1682.0,2507.0,2675.0,956.0,120.0,156.0
85053,27982.0,335.0,4801.0,821.0,1602.0,3164.0,889.0,152.0,68.0
85054,6049.0,41.0,602.0,20.0,448.0,1910.0,621.0,156.0,171.0
85083,19195.0,55.0,2397.0,204.0,1157.0,2913.0,1217.0,509.0,62.0
85085,19529.0,25.0,1679.0,336.0,1276.0,3598.0,1452.0,321.0,92.0
85086,41102.0,216.0,4301.0,818.0,2747.0,7639.0,2412.0,334.0,149.0
85087,7900.0,26.0,1125.0,209.0,681.0,891.0,344.0,71.0,6.0
85118,11857.0,14.0,2418.0,227.0,793.0,2317.0,971.0,206.0,202.0
85119,20672.0,63.0,4425.0,686.0,1526.0,2016.0,738.0,72.0,83.0
85120,28599.0,313.0,6431.0,1711.0,1684.0,1628.0,880.0,58.0,119.0
85121,2873.0,0.0,406.0,143.0,24.0,79.0,6.0,0.0,0.0
85122,52817.0,593.0,8580.0,2275.0,3337.0,3777.0,1437.0,148.0,84.0
85123,9105.0,57.0,1746.0,221.0,857.0,510.0,120.0,21.0,0.0
85128,15867.0,147.0,2723.0,676.0,614.0,718.0,334.0,45.0,9.0
